img,filename,iterations
data/Supervisely/train/4802.png,data/Supervisely/train_mask/4802.png,0
data/Supervisely/train/3992.png,data/Supervisely/iteration_noisy_60/3992.png,7
data/Supervisely/train/5400.png,data/Supervisely/train_mask/5400.png,0
data/Supervisely/train/4235.png,data/Supervisely/train_mask/4235.png,0
data/Supervisely/train/3888.png,data/Supervisely/iteration_noisy_60/3888.png,6
data/Supervisely/train/5223.png,data/Supervisely/train_mask/5223.png,0
data/Supervisely/train/1356.png,data/Supervisely/train_mask/1356.png,0
data/Supervisely/train/3007.png,data/Supervisely/iteration_noisy_60/3007.png,7
data/Supervisely/train/4442.png,data/Supervisely/train_mask/4442.png,0
data/Supervisely/train/2265.png,data/Supervisely/train_mask/2265.png,0
data/Supervisely/train/2694.png,data/Supervisely/train_mask/2694.png,0
data/Supervisely/train/5504.png,data/Supervisely/iteration_noisy_60/5504.png,6
data/Supervisely/train/4108.png,data/Supervisely/iteration_noisy_60/4108.png,6
data/Supervisely/train/4804.png,data/Supervisely/train_mask/4804.png,0
data/Supervisely/train/633.png,data/Supervisely/iteration_noisy_60/633.png,10
data/Supervisely/train/3524.png,data/Supervisely/train_mask/3524.png,0
data/Supervisely/train/4028.png,data/Supervisely/train_mask/4028.png,0
data/Supervisely/train/1751.png,data/Supervisely/iteration_noisy_60/1751.png,7
data/Supervisely/train/5266.png,data/Supervisely/iteration_noisy_60/5266.png,6
data/Supervisely/train/2786.png,data/Supervisely/iteration_noisy_60/2786.png,6
data/Supervisely/train/3916.png,data/Supervisely/train_mask/3916.png,0
data/Supervisely/train/1337.png,data/Supervisely/train_mask/1337.png,0
data/Supervisely/train/4414.png,data/Supervisely/train_mask/4414.png,0
data/Supervisely/train/2925.png,data/Supervisely/train_mask/2925.png,0
data/Supervisely/train/585.png,data/Supervisely/iteration_noisy_60/585.png,8
data/Supervisely/train/2568.png,data/Supervisely/train_mask/2568.png,0
data/Supervisely/train/103.png,data/Supervisely/train_mask/103.png,0
data/Supervisely/train/4926.png,data/Supervisely/iteration_noisy_60/4926.png,6
data/Supervisely/train/2454.png,data/Supervisely/train_mask/2454.png,0
data/Supervisely/train/1530.png,data/Supervisely/iteration_noisy_60/1530.png,8
data/Supervisely/train/3082.png,data/Supervisely/iteration_noisy_60/3082.png,6
data/Supervisely/train/5104.png,data/Supervisely/iteration_noisy_60/5104.png,7
data/Supervisely/train/3964.png,data/Supervisely/train_mask/3964.png,0
data/Supervisely/train/4543.png,data/Supervisely/train_mask/4543.png,0
data/Supervisely/train/3127.png,data/Supervisely/train_mask/3127.png,0
data/Supervisely/train/411.png,data/Supervisely/iteration_noisy_60/411.png,7
data/Supervisely/train/2477.png,data/Supervisely/train_mask/2477.png,0
data/Supervisely/train/452.png,data/Supervisely/iteration_noisy_60/452.png,9
data/Supervisely/train/1019.png,data/Supervisely/iteration_noisy_60/1019.png,7
data/Supervisely/train/1989.png,data/Supervisely/train_mask/1989.png,0
data/Supervisely/train/2399.png,data/Supervisely/iteration_noisy_60/2399.png,9
data/Supervisely/train/5694.png,data/Supervisely/iteration_noisy_60/5694.png,6
data/Supervisely/train/3103.png,data/Supervisely/train_mask/3103.png,0
data/Supervisely/train/2171.png,data/Supervisely/iteration_noisy_60/2171.png,7
data/Supervisely/train/206.png,data/Supervisely/train_mask/206.png,0
data/Supervisely/train/3763.png,data/Supervisely/iteration_noisy_60/3763.png,9
data/Supervisely/train/1410.png,data/Supervisely/iteration_noisy_60/1410.png,8
data/Supervisely/train/4950.png,data/Supervisely/train_mask/4950.png,0
data/Supervisely/train/3246.png,data/Supervisely/train_mask/3246.png,0
data/Supervisely/train/4721.png,data/Supervisely/iteration_noisy_60/4721.png,7
data/Supervisely/train/3384.png,data/Supervisely/iteration_noisy_60/3384.png,6
data/Supervisely/train/825.png,data/Supervisely/iteration_noisy_60/825.png,8
data/Supervisely/train/5352.png,data/Supervisely/iteration_noisy_60/5352.png,6
data/Supervisely/train/5175.png,data/Supervisely/train_mask/5175.png,0
data/Supervisely/train/2109.png,data/Supervisely/iteration_noisy_60/2109.png,10
data/Supervisely/train/4415.png,data/Supervisely/iteration_noisy_60/4415.png,6
data/Supervisely/train/2828.png,data/Supervisely/train_mask/2828.png,0
data/Supervisely/train/2944.png,data/Supervisely/train_mask/2944.png,0
data/Supervisely/train/5527.png,data/Supervisely/iteration_noisy_60/5527.png,10
data/Supervisely/train/3202.png,data/Supervisely/iteration_noisy_60/3202.png,10
data/Supervisely/train/513.png,data/Supervisely/iteration_noisy_60/513.png,10
data/Supervisely/train/2017.png,data/Supervisely/iteration_noisy_60/2017.png,10
data/Supervisely/train/1060.png,data/Supervisely/iteration_noisy_60/1060.png,9
data/Supervisely/train/396.png,data/Supervisely/train_mask/396.png,0
data/Supervisely/train/4917.png,data/Supervisely/iteration_noisy_60/4917.png,10
data/Supervisely/train/1993.png,data/Supervisely/iteration_noisy_60/1993.png,10
data/Supervisely/train/3184.png,data/Supervisely/iteration_noisy_60/3184.png,8
data/Supervisely/train/2140.png,data/Supervisely/iteration_noisy_60/2140.png,6
data/Supervisely/train/3250.png,data/Supervisely/iteration_noisy_60/3250.png,8
data/Supervisely/train/242.png,data/Supervisely/iteration_noisy_60/242.png,7
data/Supervisely/train/1999.png,data/Supervisely/iteration_noisy_60/1999.png,9
data/Supervisely/train/2298.png,data/Supervisely/iteration_noisy_60/2298.png,9
data/Supervisely/train/984.png,data/Supervisely/iteration_noisy_60/984.png,6
data/Supervisely/train/176.png,data/Supervisely/train_mask/176.png,0
data/Supervisely/train/4983.png,data/Supervisely/iteration_noisy_60/4983.png,6
data/Supervisely/train/5173.png,data/Supervisely/iteration_noisy_60/5173.png,7
data/Supervisely/train/307.png,data/Supervisely/train_mask/307.png,0
data/Supervisely/train/3445.png,data/Supervisely/iteration_noisy_60/3445.png,7
data/Supervisely/train/4562.png,data/Supervisely/train_mask/4562.png,0
data/Supervisely/train/3141.png,data/Supervisely/train_mask/3141.png,0
data/Supervisely/train/2744.png,data/Supervisely/iteration_noisy_60/2744.png,9
data/Supervisely/train/4401.png,data/Supervisely/train_mask/4401.png,0
data/Supervisely/train/1349.png,data/Supervisely/train_mask/1349.png,0
data/Supervisely/train/4344.png,data/Supervisely/iteration_noisy_60/4344.png,10
